index,value
0,1.07629E+13
1,1.0868E+13
2,1.07827E+13
3,1.06991E+13
4,1.07873E+13
5,1.08587E+13
6,1.08631E+13
7,1.08916E+13
8,1.09514E+13
9,1.09211E+13
10,1.07422E+13
11,1.07744E+13
12,1.09742E+13
13,1.09084E+13
14,1.09763E+13
15,1.08789E+13
16,1.07436E+13
17,1.08445E+13
18,1.07949E+13
19,1.0766E+13
20,1.07483E+13
21,1.09725E+13
22,1.08536E+13
23,1.08612E+13
24,1.08574E+13
25,1.08494E+13
26,1.09918E+13
27,1.0936E+13
28,1.09193E+13
29,1.08783E+13
30,1.08895E+13
31,5487370956
32,5420013906
33,5471345594
34,5496390504
35,5486818015
36,5528875527
37,5559305438
38,5744263457
39,5650392030
40,5680691744
41,5572782689
42,5580753227
43,5551471370
44,5542236364
45,5513909831
46,5534883667
47,5540546337
48,5550441376
49,5590925458
50,5525384248
51,5659958668
52,5675586496
53,5550085451
54,5435464832
55,5289376528
56,5303434079
57,5378930505
58,5428425523
59,5587679281
60,5708561272
61,5757253368
