index,value
0,11457997346967.768
1,11458923246145.418
2,11457615506766.424
3,11457720467315.906
4,11462566727234.994
5,11473864931370.674
6,11521510547631.213
7,11646768187636.777
8,11649661273544.113
9,11649803267223.375
10,11650822063932.857
11,11656045419868.488
12,11667199983848.812
13,11714212728261.805
14,11838393388611.295
15,11839821793005.545
16,11838176391752.785
17,11837155695671.77
18,11840160607688.28
19,11848990337825.346
20,11893640817006.809
21,12015484335491.55
22,12014654395818.336
23,12010872187148.523
24,12007866471034.893
25,12009054926312.398
26,12016239685684.105
27,12059405999529.877
28,12217388761330.055
29,12177828775721.232
30,12172861373423.193
31,4776228845.492614
32,5064673586.507699
33,5572922900.375762
34,5319866927.153632
35,5143497325.127249
36,4909730540.79928
37,4847756070.103226
38,4853225022.776198
39,5169472228.2562895
40,5690166319.19129
41,5440820417.838162
42,5280068995.320612
43,5080840081.386314
44,5051684110.730032
45,5055345841.237833
46,5320472099.00831
47,5760029500.310132
48,5438271160.211191
49,5241086222.687685
50,5039202825.895814
51,5020072485.420545
52,5032248752.058259
53,5310118615.655669
54,5778837794.15283
55,5496576562.464567
56,5318094986.049764
57,5081767898.32785
58,4976645319.941031
59,4947697831.891127
60,5146224064.26373
61,5677446436.467874
