index,value
0,5.56849E+12
1,5.67277E+12
2,5.75003E+12
3,5.73873E+12
4,5.77868E+12
5,5.74513E+12
6,5.73232E+12
7,5.77734E+12
8,5.87446E+12
9,5.94779E+12
10,5.89114E+12
11,5.89397E+12
12,5.97363E+12
13,6.03571E+12
14,6.12199E+12
15,6.22483E+12
16,6.27751E+12
17,6.30873E+12
18,6.32219E+12
19,6.36312E+12
20,6.39567E+12
21,6.46866E+12
22,6.57844E+12
23,6.69808E+12
24,6.66273E+12
25,6.62484E+12
26,6.68379E+12
27,6.72252E+12
28,6.77771E+12
29,6.9123E+12
30,6.98624E+12
31,3520195247
32,3494684725
33,3458597388
34,3503403104
35,3301452199
36,3132400845
37,3095229662
38,2792991827
39,3156635353
40,3588776878
41,4010627399
42,4092090588
43,4002367730
44,4384216030
45,4429182733
46,4632814096
47,4586739960
48,4879235204
49,4455156489
50,4038225969
51,3520228350
52,4014911585
53,3790354987
54,4102089730
55,4095738968
56,4052245508
57,4019600705
58,4106126452
59,4148303076
60,5142568610
61,5440386960
