index,value
0,11271528251392.0
1,11300884185088.0
2,11330994044928.0
3,11363136045056.0
4,11379722420224.0
5,11406326890496.0
6,11443210551296.0
7,11540846608384.0
8,11542403743744.0
9,11538007064576.0
10,11531306663936.0
11,11512410275840.0
12,11516471410688.0
13,11548510650368.0
14,11655159218176.0
15,11670143369216.0
16,11675872788480.0
17,11675141931008.0
18,11662322040832.0
19,11675200651264.0
20,11714885058560.0
21,11819603197952.0
22,11817793355776.0
23,11795949420544.0
24,11769166692352.0
25,11744322781184.0
26,11763815809024.0
27,11823915991040.0
28,11940537565184.0
29,11978600873984.0
30,11984296738816.0
